DATE,OPEN,HIGH,LOW,CLOSE
1.95E+07,17.59,17.59,17.59,17.59
1.95E+07,17.48,17.48,17.48,17.48
1.95E+07,17.23,17.23,17.23,17.23
1.95E+07,17.27,17.27,17.27,17.27
1.95E+07,17.5,17.5,17.5,17.5
1.95E+07,17.69,17.69,17.69,17.69
1.95E+07,17.84,17.84,17.84,17.84
1.95E+07,18.02,18.02,18.02,18.02
1.95E+07,17.95,17.95,17.95,17.95
1.95E+07,17.99,17.99,17.99,17.99
1.95E+07,18.14,18.14,18.14,18.14
1.95E+07,18.41,18.41,18.41,18.41
1.95E+07,18.46,18.46,18.46,18.46
1.95E+07,18.61,18.61,18.61,18.61
1.95E+07,18.48,18.48,18.48,18.48
1.95E+07,18.28,18.28,18.28,18.28
1.95E+07,18.29,18.29,18.29,18.29
1.95E+07,18.32,18.32,18.32,18.32
1.95E+07,18.34,18.34,18.34,18.34
1.95E+07,18.54,18.54,18.54,18.54
1.95E+07,18.68,18.68,18.68,18.68
1.95E+07,18.7,18.7,18.7,18.7
1.95E+07,18.68,18.68,18.68,18.68
1.95E+07,18.82,18.82,18.82,18.82
1.95E+07,18.79,18.79,18.79,18.79
1.95E+07,18.54,18.54,18.54,18.54
1.95E+07,18.53,18.53,18.53,18.53
1.95E+07,18.54,18.54,18.54,18.54
1.95E+07,18.43,18.43,18.43,18.43
1.95E+07,18.42,18.42,18.42,18.42
1.95E+07,18.55,18.55,18.55,18.55
1.95E+07,18.68,18.68,18.68,18.68
1.95E+07,18.54,18.54,18.54,18.54
1.95E+07,18.59,18.59,18.59,18.59
1.95E+07,18.75,18.75,18.75,18.75
1.95E+07,18.61,18.61,18.61,18.61
1.95E+07,18.87,18.87,18.87,18.87
1.95E+07,19.09,19.09,19.09,19.09
1.95E+07,19.18,19.18,19.18,19.18
1.95E+07,19.29,19.29,19.29,19.29
1.95E+07,19.37,19.37,19.37,19.37
1.95E+07,19.31,19.31,19.31,19.31
1.95E+07,19.21,19.21,19.21,19.21
1.95E+07,19.37,19.37,19.37,19.37
1.95E+07,19.44,19.44,19.44,19.44
1.95E+07,19.42,19.42,19.42,19.42
1.95E+07,19.14,19.14,19.14,19.14
1.95E+07,19.41,19.41,19.41,19.41
1.95E+07,19.42,19.42,19.42,19.42
1.95E+07,19.45,19.45,19.45,19.45
1.95E+07,19.69,19.69,19.69,19.69
1.95E+07,19.66,19.66,19.66,19.66
1.95E+07,20,20,20,20
1.95E+07,19.89,19.89,19.89,19.89
1.95E+07,20.12,20.12,20.12,20.12
1.95E+07,20,20,20,20
1.95E+07,19.78,19.78,19.78,19.78
1.95E+07,19.86,19.86,19.86,19.86
1.95E+07,19.85,19.85,19.85,19.85
1.95E+07,19.71,19.71,19.71,19.71
1.95E+07,19.89,19.89,19.89,19.89
1.95E+07,20.01,20.01,20.01,20.01
1.95E+07,20.02,20.02,20.02,20.02
1.95E+07,19.96,19.96,19.96,19.96
1.95E+07,19.96,19.96,19.96,19.96
1.95E+07,20.08,20.08,20.08,20.08
1.95E+07,20.05,20.05,20.05,20.05
1.95E+07,19.61,19.61,19.61,19.61
1.95E+07,19.77,19.77,19.77,19.77
1.95E+07,19.61,19.61,19.61,19.61
1.95E+07,19.53,19.53,19.53,19.53
1.95E+07,19.56,19.56,19.56,19.56
1.95E+07,19.73,19.73,19.73,19.73
1.95E+07,19.85,19.85,19.85,19.85
1.95E+07,19.36,19.36,19.36,19.36
1.95E+07,19.56,19.56,19.56,19.56
1.95E+07,19.79,19.79,19.79,19.79
1.95E+07,19.94,19.94,19.94,19.94
1.95E+07,20.01,20.01,20.01,20.01
1.95E+07,19.86,19.86,19.86,19.86
1.95E+07,19.82,19.82,19.82,19.82
1.95E+07,19.72,19.72,19.72,19.72
1.95E+07,19.86,19.86,19.86,19.86
1.95E+07,19.93,19.93,19.93,19.93
1.95E+07,19.88,19.88,19.88,19.88
1.95E+07,20.16,20.16,20.16,20.16
1.95E+07,20.32,20.32,20.32,20.32
1.95E+07,20.18,20.18,20.18,20.18
1.95E+07,19.56,19.56,19.56,19.56
1.95E+07,19.37,19.37,19.37,19.37
1.95E+07,19.51,19.51,19.51,19.51
1.95E+07,19.66,19.66,19.66,19.66
1.95E+07,19,19,19,19
1.95E+07,19.31,19.31,19.31,19.31
1.95E+07,19.45,19.45,19.45,19.45
1.95E+07,19.4,19.4,19.4,19.4
1.95E+07,19.4,19.4,19.4,19.4
1.95E+07,19.72,19.72,19.72,19.72
1.95E+07,19.68,19.68,19.68,19.68
1.95E+07,19.67,19.67,19.67,19.67
1.95E+07,19.43,19.43,19.43,19.43
1.95E+07,19.33,19.33,19.33,19.33
1.95E+07,19.85,19.85,19.85,19.85
1.95E+07,19.96,19.96,19.96,19.96
1.95E+07,19.97,19.97,19.97,19.97
1.95E+07,19.98,19.98,19.98,19.98
1.95E+07,20.07,20.07,20.07,20.07
1.95E+07,19.92,19.92,19.92,19.92
1.95E+07,20.3,20.3,20.3,20.3
1.95E+07,20.38,20.38,20.38,20.38
1.95E+07,20.43,20.43,20.43,20.43
1.95E+07,20.77,20.77,20.77,20.77
1.95E+07,20.69,20.69,20.69,20.69
1.95E+07,20.87,20.87,20.87,20.87
1.95E+07,20.87,20.87,20.87,20.87
1.95E+07,21,21,21,21
1.95E+07,21.12,21.12,21.12,21.12
1.95E+07,20.85,20.85,20.85,20.85
1.95E+07,21.19,21.19,21.19,21.19
1.95E+07,21.11,21.11,21.11,21.11
1.95E+07,21.3,21.3,21.3,21.3
1.95E+07,21.46,21.46,21.46,21.46
1.95E+07,21.55,21.55,21.55,21.55
1.95E+07,21.4,21.4,21.4,21.4
1.95E+07,21.36,21.36,21.36,21.36
1.95E+07,21.18,21.18,21.18,21.18
1.95E+07,21.26,21.26,21.26,21.26
1.95E+07,21.16,21.16,21.16,21.16
1.95E+07,21.03,21.03,21.03,21.03
1.95E+07,21.26,21.26,21.26,21.26
1.95E+07,21.67,21.67,21.67,21.67
1.95E+07,21.74,21.74,21.74,21.74
1.95E+07,21.66,21.66,21.66,21.66
1.95E+07,21.77,21.77,21.77,21.77
1.95E+07,21.96,21.96,21.96,21.96
1.95E+07,22.2,22.2,22.2,22.2
1.95E+07,22.12,22.12,22.12,22.12
1.95E+07,21.99,21.99,21.99,21.99
1.95E+07,22.09,22.09,22.09,22.09
1.95E+07,22.17,22.17,22.17,22.17
1.95E+07,22.18,22.18,22.18,22.18
1.95E+07,22.12,22.12,22.12,22.12
1.95E+07,22,22,22,22
1.95E+07,22.13,22.13,22.13,22.13
1.95E+07,21.83,21.83,21.83,21.83
1.95E+07,21.79,21.79,21.79,21.79
1.95E+07,21.86,21.86,21.86,21.86
1.95E+07,21.92,21.92,21.92,21.92
1.95E+07,21.93,21.93,21.93,21.93
1.95E+07,21.76,21.76,21.76,21.76
1.95E+07,21.8,21.8,21.8,21.8
